,sna,tot,sbi,sarea,mday,ar,bemp,act
98,YouBike2.0_瑠公公園,20,1,大安區,2023-05-27 23:10:19,忠孝東路四段49巷4弄/大安路口,18,1
99,YouBike2.0_敦化市民路口,23,1,大安區,2023-05-27 23:13:04,敦化南路1段158號(前),19,1
100,YouBike2.0_捷運大安森林公園站(5號出口),15,1,大安區,2023-05-27 23:03:04,捷運大安森林公園站(5號出口)東側,14,1
101,YouBike2.0_信義建國路口,38,10,大安區,2023-05-27 23:06:15,建國南路二段與信義路三段口西南側,26,1
102,YouBike2.0_東豐公園,19,1,大安區,2023-05-27 23:05:14,東豐街24號(旁公園路側),17,1
103,YouBike2.0_德安公園(四維路66巷),14,13,大安區,2023-05-27 22:56:04,四維路66巷6號北側,1,1
104,YouBike2.0_捷運忠孝復興站(5號出口),41,0,大安區,2023-05-27 23:04:04,復興南路一段135巷3號(對面),40,1
105,YouBike2.0_捷運忠孝敦化站(2號出口),17,0,大安區,2023-05-27 23:11:03,忠孝東路四段221號,17,1
106,YouBike2.0_捷運忠孝敦化站(7號出口),18,1,大安區,2023-05-27 23:13:14,忠孝東路四段143號,16,1
107,YouBike2.0_瑞安街208巷,15,15,大安區,2023-05-27 23:12:14,瑞安街208巷39號對面,0,1
108,YouBike2.0_樂利路21巷口,17,10,大安區,2023-05-27 23:04:14,樂利路25號,6,1
109,YouBike2.0_捷運科技大樓站(台北教育大學),46,3,大安區,2023-05-27 23:08:14,和平東路二段134號前,43,1
110,YouBike2.0_捷運國父紀念館站(2號出口),38,2,大安區,2023-05-27 23:12:14,忠孝東路四段/光復南路口(西南側),35,1
111,YouBike2.0_仁愛醫院,30,4,大安區,2023-05-27 23:13:14,仁愛路四段/大安路一段口(西南側),26,1
112,YouBike2.0_捷運信義安和站(4號出口),30,8,大安區,2023-05-27 23:11:14,信義路四段252號前,20,1
113,YouBike2.0_成功國宅,30,14,大安區,2023-05-27 23:09:13,和平東路三段1巷/四維路198巷口(西北側),16,1
114,YouBike2.0_仁愛延吉街口,25,9,大安區,2023-05-27 23:05:14,仁愛路四段376號前,16,1
115,YouBike2.0_捷運信義安和站(1號出口),33,13,大安區,2023-05-27 23:11:14,信義路四段225號前,19,1
116,YouBike2.0_敦化南路二段103巷口,24,8,大安區,2023-05-27 22:41:14,敦化南路二段99號前,16,1
117,YouBike2.0_復興南路二段128巷口,28,2,大安區,2023-05-27 23:07:14,復興南路二段142之1號前,26,1
118,YouBike2.0_和平東建國南路口,17,8,大安區,2023-05-27 23:09:13,和平東路/建國南路口(北側),8,1
119,YouBike2.0_芳蘭山莊,16,5,大安區,2023-05-27 22:17:45,基隆路三段155巷148號,11,1
120,YouBike2.0_復興南路一段126巷口,15,7,大安區,2023-05-27 23:13:14,復興南路一段126巷1號前,8,1
121,YouBike2.0_捷運東門站(5號出口),28,1,大安區,2023-05-27 23:01:17,信義路二段178號前,26,1
122,YouBike2.0_仁愛路四段48巷口,11,3,大安區,2023-05-27 23:13:14,仁愛路四段48巷/東豐街(北側),8,1
123,YouBike2.0_捷運公館站(3號出口),90,4,大安區,2023-05-27 23:13:14,捷運公館站(3號出口)西側,86,1
124,YouBike2.0_臺北科技大學(電機工程系),16,5,大安區,2023-05-27 23:13:14,忠孝東路三段100號對側,11,1
125,YouBike2.0_忠孝東路三段217巷口,34,6,大安區,2023-05-27 23:09:13,忠孝東路三段229-1號前,28,1
126,YouBike2.0_新生南路三段94巷口,15,0,大安區,2023-05-27 23:06:04,新生南路三段94號前,14,1
127,YouBike2.0_辛亥新生路口西北側,12,1,大安區,2023-05-27 23:13:14,辛亥路一段/新生南路三段(西北側),10,1
128,YouBike2.0_捷運大安站(6號出口),19,3,大安區,2023-05-27 23:11:14,復興南路一段303號前,16,1
129,YouBike2.0_臥龍街195巷口,14,10,大安區,2023-05-27 22:49:14,臥龍街/臥龍街195巷(南側),3,1
130,YouBike2.0_辛亥路三段157巷口,19,6,大安區,2023-05-27 22:19:14,辛亥路三段與辛亥路三段157巷口西北側,13,1
131,YouBike2.0_臥龍基隆路口,16,7,大安區,2023-05-27 23:09:13,臥龍街與基隆路二段口東北側,9,1
132,YouBike2.0_敦親公園,20,19,大安區,2023-05-27 23:11:14,和平東路二段96巷8之1號(前方),1,1
133,YouBike2.0_大安運動中心,27,0,大安區,2023-05-27 22:37:04,辛亥路三段55號前方人行道(大安運動中心),26,1
134,YouBike2.0_和平敦化路口,25,16,大安區,2023-05-27 23:12:14,和平東路三段 / 敦化南路二段口(東側),8,1
135,YouBike2.0_基隆長興路口,43,2,大安區,2023-05-27 23:07:14,基隆路/長興街(東南側),41,1
136,YouBike2.0_仁愛路四段122巷口,16,0,大安區,2023-05-27 21:13:04,仁愛路四段118號前,16,1
137,YouBike2.0_市民敦化路口,15,2,大安區,2023-05-27 23:10:20,敦化南路一段111號前,13,1
138,YouBike2.0_忠孝東路四段49巷口,15,2,大安區,2023-05-27 23:10:20,忠孝東路四段55號前,12,1
139,YouBike2.0_市民復興路口(東南側),16,4,大安區,2023-05-27 23:02:14,市民大道四段/復興路一段口(東南側),11,1
140,YouBike2.0_和平新生路口西南側,13,11,大安區,2023-05-27 23:11:14,新生南路三段2號前,2,1
141,YouBike2.0_全安公園,16,5,大安區,2023-05-27 22:57:14,安和路二段227巷16號對側,11,1
142,YouBike2.0_信義路三段134巷口,19,8,大安區,2023-05-27 22:55:23,信義路三段/信義路三段134巷口,11,1
143,YouBike2.0_仁愛敦南圓環(東南側),16,1,大安區,2023-05-27 23:03:04,仁愛路四段110號前,11,1
144,YouBike2.0_臺北遠企購物中心,33,2,大安區,2023-05-27 23:09:13,敦化南路二段201號前,30,1
145,YouBike2.0_外交部外交及國際事務學院,17,1,大安區,2023-05-27 22:17:35,敦化南路一段280號,16,1
146,YouBike2.0_四維路170巷口,22,16,大安區,2023-05-27 23:13:14,敦化南路二段92號對側中央分隔島,6,1
147,YouBike2.0_捷運大安站(3號出口),44,2,大安區,2023-05-27 23:10:20,信義路三段184號前,41,1
148,YouBike2.0_捷運臺電大樓站(2號出口)_1,31,1,大安區,2023-05-27 23:09:13,羅斯福路三段201號旁,29,1
149,YouBike2.0_信義路四段199巷,15,5,大安區,2023-05-27 23:12:14,信義路四段199巷/安和路一段90巷口,9,1
150,YouBike2.0_臺大資訊大樓,40,1,大安區,2023-05-27 21:49:14,辛亥路二段(臺大外語學院外),39,1
151,YouBike2.0_敦化南路二段81巷,40,1,大安區,2023-05-27 23:06:15,敦化南路二段與敦化南路二段81巷口西北側,38,1
152,YouBike2.0_原臺北刑務所官舍,23,6,大安區,2023-05-27 23:01:31,金華街78號對側,17,1
153,YouBike2.0_捷運國父紀念館站(1號出口),25,0,大安區,2023-05-27 23:13:04,光復南路200巷26號東側,23,1
154,YouBike2.0_懷生國中,15,6,大安區,2023-05-27 22:42:14,忠孝東路三段248巷30號,8,1
155,YouBike2.0_仁愛敦南圓環(西北側),20,2,大安區,2023-05-27 22:51:15,仁愛路四段85號前,17,1
156,YouBike2.0_立人國小,17,3,大安區,2023-05-27 23:13:14,安和路二段/敦化南路二段81巷(西南側),11,1
157,YouBike2.0_和平東路二段18巷口,24,17,大安區,2023-05-27 23:11:14,辛亥路二段43號前,7,1
158,YouBike2.0_捷運大安站(5號出口),19,8,大安區,2023-05-27 23:07:14,復興南路二段/信義路四段(東南側),8,1
159,YouBike2.0_臨江公園,13,12,大安區,2023-05-27 22:33:04,通化街143巷33號對側,0,1
160,YouBike2.0_羅斯福路四段113巷19弄口,14,2,大安區,2023-05-27 23:05:14,羅斯福路四段119巷84號對側,11,1
161,YouBike2.0_忠孝東路四段248巷口,15,0,大安區,2023-05-27 23:12:04,忠孝東路四段230號前,13,1
162,YouBike2.0_仁愛延吉路口(西北側),18,12,大安區,2023-05-27 23:02:14,仁愛路四段363號前,6,1
163,YouBike2.0_樂利路101巷口,13,7,大安區,2023-05-27 23:12:14,樂利路97號前,6,1
164,YouBike2.0_羅斯福浦城街口,15,5,大安區,2023-05-27 23:02:14,羅斯福路三段117號前,10,1
165,YouBike2.0_延平國宅,30,16,大同區,2023-05-27 23:10:20,延平北路五段1-1號(對面),14,1
166,YouBike2.0_臺北市立圖書館大同分館,20,0,大同區,2023-05-27 22:49:04,重慶北路三段318號旁,20,1
167,YouBike2.0_合昌宮,15,10,大同區,2023-05-27 23:12:14,環河北路二段371號旁,5,1
168,YouBike2.0_民族延平路口,23,21,大同區,2023-05-27 23:09:13,延平北路三段123號北側,2,1
169,YouBike2.0_重慶酒泉街口,30,3,大同區,2023-05-27 23:11:14,重慶北路三段260號前,27,1
170,YouBike2.0_樹德公園,14,13,大同區,2023-05-27 21:47:04,大龍街85巷12號對側,0,1
171,YouBike2.0_陳天來故居,18,14,大同區,2023-05-27 23:04:14,西寧北路112號前方,4,1
172,YouBike2.0_臺北孔廟,27,11,大同區,2023-05-27 23:10:20,哈密街61號口對側人行道,16,1
173,YouBike2.0_捷運圓山站(1號出口),44,12,大同區,2023-05-27 23:13:14,酒泉街235號前,29,1
174,YouBike2.0_酒泉延平路口,26,15,大同區,2023-05-27 22:43:13,酒泉街235號前,11,1
175,YouBike2.0_重慶國中,37,11,大同區,2023-05-27 22:38:14,敦煌路19號前,26,1
176,YouBike2.0_重慶北路三段383巷口,25,1,大同區,2023-05-27 23:01:17,敦煌路與重慶北路三段383巷口,24,1
177,YouBike2.0_台北數位產業園區,24,5,大同區,2023-05-27 22:45:15,承德路三段287號前方,19,1
178,YouBike2.0_民權延平路口(西北側),20,8,大同區,2023-05-27 23:05:14,民權西路239號前方,12,1
179,YouBike2.0_民權迪化街口,23,3,大同區,2023-05-27 23:12:14,民權西路與迪化街一段口(橋墩下),20,1
180,YouBike2.0_大稻埕公園,25,19,大同區,2023-05-27 23:04:14,安西街1巷7號(對側),5,1
181,YouBike2.0_大龍老人住宅,14,12,大同區,2023-05-27 22:37:14,民族西路82號前方,2,1
182,YouBike2.0_大龍峒社會住宅,20,0,大同區,2023-05-27 21:35:05,承德路三段210號旁,20,1
183,YouBike2.0_捷運大橋頭站(2號出口),57,16,大同區,2023-05-27 23:11:14,捷運大橋頭站(2號出口)西側,40,1
184,YouBike2.0_捷運大橋頭站(1A出口),18,3,大同區,2023-05-27 23:09:13,民權西路237號旁,13,1
185,YouBike2.0_捷運民權西路站(2號出口),25,1,大同區,2023-05-27 23:12:04,捷運民權西路站(2號出口)西側,24,1
186,YouBike2.0_捷運雙連站(2號出口),41,9,大同區,2023-05-27 23:13:14,萬全街22號對面,32,1
187,YouBike2.0_捷運北門站(3號出口),62,40,大同區,2023-05-27 23:12:14,塔城街與鄭州路口西南側,22,1
188,YouBike2.0_朝陽公園,10,4,大同區,2023-05-27 23:12:04,重慶北路二段62-1號旁,3,1
189,YouBike2.0_永樂市場,38,13,大同區,2023-05-27 23:12:14,南京西路233巷103號旁,15,1
190,YouBike2.0_大龍公園,18,13,大同區,2023-05-27 23:05:14,大龍街217號對側,5,1
191,YouBike2.0_重慶涼州街口,13,5,大同區,2023-05-27 22:29:13,重慶北路二段180號旁,8,1
192,YouBike2.0_圓山線形公園,14,1,大同區,2023-05-27 23:04:04,玉門街/民族西路(西北側),13,1
193,YouBike2.0_圓環站,28,2,大同區,2023-05-27 23:11:14,重慶北路一段128號前,26,1
194,YouBike2.0_重慶民族路口,20,9,大同區,2023-05-27 22:48:14,重慶北路三段162號前,10,1
195,YouBike2.0_承德路三段8巷口,16,0,大同區,2023-05-27 22:49:04,承德路三段14號前,16,1
196,YouBike2.0_太原廣場,31,23,大同區,2023-05-27 23:13:04,鄭州路23號(旁),7,1
197,YouBike2.0_國順公園,20,10,大同區,2023-05-27 23:06:15,昌吉街117號前,10,1
198,YouBike2.0_聯合醫院中興院區,27,14,大同區,2023-05-27 23:05:14,長安西路299號(對面),13,1
199,YouBike2.0_蔣渭水紀念公園,24,6,大同區,2023-05-27 23:13:14,錦西街/興城街口(西南側),18,1
200,YouBike2.0_迪化休閒運動公園,15,9,大同區,2023-05-27 23:03:14,延平北路四段200號(南側),6,1
201,YouBike2.0_大同運動中心,16,5,大同區,2023-05-27 23:11:14,大龍街51號(旁),11,1
202,YouBike2.0_重慶保安街口(家樂福重慶店),20,13,大同區,2023-05-27 23:11:14,重慶北路二段171號(旁),7,1
203,YouBike2.0_大稻埕碼頭,35,14,大同區,2023-05-27 23:12:14,大稻埕疏散門(淡五號水門)外,21,1
204,YouBike2.0_歸綏戲曲公園,20,7,大同區,2023-05-27 23:11:14,重慶北路二段/歸綏街口(南側),13,1
205,YouBike2.0_民權國中(民權西路),17,2,大同區,2023-05-27 22:59:13,民權西路/蘭州街(西側),15,1
206,YouBike2.0_承德民權路口,17,1,大同區,2023-05-27 22:57:03,承德路二段239號前,16,1
207,YouBike2.0_南京太原路口,18,1,大同區,2023-05-27 23:09:04,南京西路/太原路(東側),17,1
208,YouBike2.0_承德民生西路口,11,5,大同區,2023-05-27 23:13:14,承德路二段137號前,6,1
209,YouBike2.0_太原五原路口,24,5,大同區,2023-05-27 23:12:14,太原路 / 五原路口(東南側),19,1
210,YouBike2.0_臺北轉運站(華陰街),20,9,大同區,2023-05-27 23:13:14,華陰街45號(對面),11,1
